날짜,실제,이전
2019-01,2.50%,2.25%
2019-02,2.50%,2.50%
2019-03,2.50%,2.50%
2019-04,2.50%,2.50%
2019-05,2.50%,2.50%
2019-06,2.50%,2.50%
2019-07,2.50%,2.50%
2019-08,2.25%,2.50%
2019-09,2.25%,2.50%
2019-10,2.00%,2.25%
2019-11,1.75%,2.00%
2019-12,1.75%,2.00%
2020-01,1.75%,1.75%
2020-02,1.75%,1.75%
2020-03,1.75%,1.75%
2020-04,0.25%,1.25%
2020-05,0.25%,0.25%
2020-06,0.25%,0.25%
2020-07,0.25%,0.25%
2020-08,0.25%,0.25%
2020-09,0.25%,0.25%
2020-10,0.25%,0.25%
2020-11,0.25%,0.25%
2020-12,0.25%,0.25%
2021-01,0.25%,0.25%
2021-02,0.25%,0.25%
2021-03,0.25%,0.25%
2021-04,0.25%,0.25%
2021-05,0.25%,0.25%
2021-06,0.25%,0.25%
2021-07,0.25%,0.25%
2021-08,0.25%,0.25%
2021-09,0.25%,0.25%
2021-10,0.25%,0.25%
2021-11,0.25%,0.25%
2021-12,0.25%,0.25%
2022-01,0.25%,0.25%
2022-02,0.25%,0.25%
2022-03,0.25%,0.25%
2022-04,0.50%,0.25%
2022-05,0.50%,0.25%
2022-06,1.00%,0.50%
