연도,전 체,보리쌀,밀,옥수수,콩,서 류,기 타
’57,83.1,85.4,25.3,23.4,82.3,100,100
’58,82.4,72.4,21.5,86.9,70.2,100,100
’59,97,114.2,38.5,34.1,84.1,100,100
’60,94.5,110.4,33.9,18.9,79.3,100,100
’61,91.1,90.2,39.8,20,87.8,100,100
’62,90.8,90.1,27.7,30.8,91.2,100,100
’63,75.5,64,14.2,16.8,94,100,84.9
’64,93.6,120.6,24.5,23.8,95.1,100,92.3
’65,93.9,106,27,36.1,100,100,100
’66,94.7,109.7,29.6,54.8,100,100,103.2
’67,86.7,90.2,19.3,44.2,87,100,103.4
’68,81.3,98.7,15.7,38,90.1,100,102
’69,73.6,95.6,15.1,25.2,93.5,100,109.9
’70,80.5,106.3,15.4,18.9,86.1,100,96.9
’71,71.2,91.8,11.8,18.6,82.6,100,103.6
’72,70.8,93.2,7.3,13.8,85.1,100,100
’73,69.4,82.9,5.3,12.4,75.2,100,100
’74,70.3,78.4,4.9,10.3,84.5,100,100
'75,73,92,5.7,8.3,85.8,100,100
’76,74.1,97.9,4.5,6.7,74.4,100,100
’77,65.1,53.4,2.3,6.2,67.5,100,100
’78,72.6,119.9,2.1,6,59.3,100,100
’79,59.8,117.3,2.4,3.4,43.4,99.8,89.3
’80,56,57.6,4.8,5.9,35.1,100,89.8
’81,43.2,72.7,2.7,6.1,29.7,100,89.1
’82,53,85.9,3.4,4.9,32.4,100,19.4
’83,50.1,117.1,6,2.8,25.7,100,26.2
’84,48.7,97.5,0.6,3.1,23.5,100,10.1
’85,48.4,63.7,0.4,4.1,22.5,100,11.6
’86,44.5,82.4,0.2,3.5,18.8,100,14.6
’87,41,97.2,0.1,2.4,16.2,100,43.4
’88,39.6,119.4,0.1,2.6,15.6,97.7,48.6
’89,43,114.2,0.1,1.8,19.4,98,10.1
’90,43.1,97.4,0.05,1.9,20.1,95.6,13.9
’91,37.6,74.3,0.02,2.2,19.4,95.9,16.6
’92,34.1,82.6,0.02,1.2,12.2,103.4,13.1
’93,33.8,74.9,0.03,1.4,13.8,99.6,12.9
’94,28,51,0.03,1.4,12.6,93.6,10.4
’95,29.1,67,0.3,1.1,9.9,98.4,3.8
’96,26.4,73.5,0.4,0.8,9.9,99.6,3.4
’97,30.4,49.3,0.2,0.9,8.6,99.2,6.5
’98,31.4,56.8,0.1,1.1,9.4,99.5,16.4
’99,29.4,67.1,0.1,1,9.1,98.8,11
’00,29.7,46.9,0.1,0.9,6.8,99.3,5.2
’01,31.1,77.2,0.1,0.8,7.7,99.1,11.1
’02,30.4,60.4,0.2,0.7,7.3,99.1,10.2
’03,27.8,49.8,0.3,0.8,7.3,98.1,12.5
’04,26.9,54.1,0.4,0.8,7.1,97.1,7.5
’05,29.3,56.4,0.2,0.9,9.7,98.6,10.8
’06,27.7,41.7,0.2,0.8,13.6,98.5,10.3
’07,27.7,51.2,0.2,0.7,11.2,98.4,10
’08,27.8,38.6,0.4,1,8.6,98.3,8.1
’09,29.6,45.4,0.5,1.2,9.9,98.7,9.6
'10,27.6,24.7,0.9,0.9,10.1,98.7,10
'11,24.3,22.5,1,0.9,8,96.9,8.7
‘12,23.7,16.5,0.7,0.9,10.4,95.8,10
‘13,23.3,19.3,0.4,1,9.7,96.3,11.1
‘14,24,24.8,0.6,0.8,11.3,96.1,11.2
‘15,23.9,21.9,0.7,0.8,9.4,94.6,11.8
‘16,23.7,23.3,0.9,0.8,7,94.8,11.9
‘17,23.4,24.9,0.9,0.8,5.4,95.2,9.3
‘18,21.8,30.9,0.7,0.7,6.3,95.4,6.9
‘19,21,46.1,0.5,0.7,6.6,95.3,9.4
‘20,20.2,36.5,0.5,0.7,7.5,95.8,12.6
