¿¬µµ,Àü Ã¼,½Ò,º¸¸®½Ò,¹Ð,¿Á¼ö¼ö,Äá,¼­ ·ù,±â Å¸
¡¯57,86.3,92.3,91.1,26.2,26.2,108.5,117.3,101.9
¡¯58,85.8,99.4,76.5,22.1,20.3,96.2,117.6,101.9
¡¯59,100.4,100.4,124.7,40.5,41.2,97.5,117.9,101.5
¡¯60,98.6,100.8,120.1,35.3,50,92.6,113.3,101.8
¡¯61,94.9,98.5,92.6,41.8,56,98.5,117.6,101.9
¡¯62,94.6,101.6,100.1,28.6,61.5,107.1,117.5,105
¡¯63,78.9,96.1,71,14.5,26.5,106.1,117.7,86.7
¡¯64,97,101.3,134.1,25.1,45.5,106.1,117.6,94.2
¡¯65,98.8,100.7,117.8,27.8,77.8,108.7,117.6,101.5
¡¯66,100,99.1,121.9,30.6,105.3,107.4,117.7,104.8
¡¯67,91.2,99.1,99.7,19.7,106.3,96.4,117.7,105.3
¡¯68,85.6,94.3,109.5,16.2,125,97.1,111.9,102
¡¯69,78.5,81,105.4,15.6,90,99.6,123.2,111.5
¡¯70,86.1,93.1,115.1,15.9,82.9,92.3,122.7,96.9
¡¯71,76,82.5,101.4,12.2,81.9,91.3,114.8,107.5
¡¯72,75.8,91.6,100.2,7.5,68.1,93.7,112.2,104.4
¡¯73,74,92.1,86.3,5.4,48.6,84.8,123.1,102.4
¡¯74,75.9,90.8,81.8,5,33.9,95,131.2,103.6
¡¯75,79.1,94.6,96.3,5.8,25.7,97.9,133.1,109
¡¯76,81.7,100.5,102.6,4.6,21.8,95.1,126.9,103.3
¡¯77,74.2,103.4,56.3,2.3,24.9,92.8,122.2,103.2
¡¯78,85.8,103.8,127.9,2.2,29.6,76.3,105,106.7
¡¯79,75.5,85.7,124.6,2.4,21.6,76.3,115.5,95.8
¡¯80,69.6,95.1,62.2,4.8,27.1,64.3,111.2,98.9
¡¯81,53.9,66.2,75.7,2.7,28.4,63.7,111.2,97.6
¡¯82,70.7,93.7,91.7,3.4,23.1,71.2,111.1,101.1
¡¯83,73.7,97.6,129,6,15.9,65.6,111.2,93.9
¡¯84,72.3,97.5,130.1,0.8,13.7,59.8,111.1,113.6
¡¯85,71.6,103.3,89.6,0.5,15.5,62.7,111.1,52.6
¡¯86,68.1,96.9,94.2,0.2,13.1,60.5,111.2,161.1
¡¯87,66.5,99.8,98.1,0.2,8.8,54.7,112.7,85.7
¡¯88,65.3,97.9,119.5,0.1,9.6,53.4,110.1,90.4
¡¯89,70.8,108.1,118.9,0.1,7.4,59.5,108.5,100
¡¯90,70.3,108.3,97.4,0.05,8.2,64.9,101.2,79.7
¡¯91,64.1,102.3,74.3,0.05,7.4,58.7,106,35.7
¡¯92,60.7,97.5,82.6,0.05,4.4,50.6,115.6,36
¡¯93,61.3,96.8,74.9,0.05,5.6,48.9,110.8,33.6
¡¯94,52.7,87.8,51,0.1,4.7,41.2,103.3,23.6
¡¯95,55.7,93.6,67.6,0.5,5.1,37,108.6,19.9
¡¯96,52.4,89.9,74.4,0.5,3.9,36.5,110.4,25
¡¯97,58,105,53.6,0.3,3.6,36.2,110,23.4
¡¯98,57.6,104.5,58.6,0.2,4.2,33.6,110.2,21.2
¡¯99,54.2,96.6,71.4,0.3,3.9,29.4,109.7,23.5
¡¯00,55.6,102.9,49.7,0.1,3.7,28.2,110.8,18.9
¡¯01,56.8,102.7,77.2,0.1,3.1,28.1,110.4,18.1
¡¯02,58.3,107,61.9,0.3,2.8,28.5,110,19.1
¡¯03,53.3,97.4,50,0.5,3.5,29,109.1,16.4
¡¯04,50.2,96.5,56.9,0.5,3.3,25,107.6,11.6
¡¯05,53.6,102,59,0.4,3.4,30.9,109.2,12.8
'06,52.7,98.5,43.6,0.3,3.5,40.4,109.3,11
¡¯07,51.5,95.8,56.2,0.3,3.1,36,109.1,10.6
¡¯08,51.8,94.3,47.1,0.5,4.9,29.5,109,8.6
¡¯09,56.2,101.1,47.9,0.9,5.6,33.8,109.3,10.6
¡®10,54.1,104.5,25.9,1.7,3.8,32.4,109.4,10.9
¡®11,45.2,83.1,23.5,1.9,3.6,26.1,107.3,9.7
¡®12,45.7,86.6,17.3,1.7,3.4,30.8,105.9,11.1
¡®13,47.5,89.2,20.5,0.9,4.5,29.6,106.5,12.3
¡®14,49.7,95.4,26,1.1,4.2,35.9,106.3,13.9
¡®15,50.2,101,23,1.2,4.1,32.1,104.5,13.6
¡®16,50.8,104.7,24.6,1.8,3.7,24.6,104.7,13.4
¡®17,48.7,103.4,26,1.7,3.3,22,105.3,10.5
¡®18,46.9,97.3,32.1,1.2,3.3,25.3,105.6,9.6
¡®19,45.8,92.1,47.7,0.7,3.5,26.7,105.2,10.8
¡®20,45.8,92.8,38.2,0.8,3.6,30.4,105.6,14.2
