장애유형,1급,,,2급,,,3급,,,4급,,,5급,,,6급,,,합계
,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계,남,여,합계,
 합계 ,"116,855","82,331","199,186","198,485","141,717","340,202","266,783","172,355","439,138","195,044","183,963","379,007","288,513","256,029","544,542","409,870","233,692","643,562","2,545,637"
 지체 ,"22,807","11,055","33,862","41,644","22,354","63,998","99,946","51,536","151,482","114,639","123,850","238,489","187,603","176,979","364,582","258,745","142,972","401,717","1,254,130"
 시각 ,"16,421","15,424","31,845","3,098","3,437","6,535","5,715","5,627","11,342","6,534","6,615","13,149","11,177","9,357","20,534","107,419","61,808","169,227","252,632"
 청각 ,"3,790","3,183","6,973","23,402","21,739","45,141","23,848","19,192","43,040","38,575","31,708","70,283","48,264","44,251","92,515","24,440","19,611","44,051","302,003"
 언어 ,88,51,139,"1,496",756,"2,252","6,091","2,169","8,260","6,911","2,755","9,666",3,0,3,1,0,1,"20,321"
 지적 ,"29,899","20,529","50,428","41,081","29,145","70,226","50,187","30,062","80,249",0,0,0,0,0,0,0,0,0,"200,903"
 뇌병변 ,"29,475","26,696","56,171","26,231","23,407","49,638","32,194","24,211","56,405","18,820","13,156","31,976","18,722","11,344","30,066","19,264","9,299","28,563","252,819"
 자폐성 ,"8,473","1,809","10,282","9,075","1,608","10,683","3,424",309,"3,733",0,0,0,0,0,0,0,0,0,"24,698"
 정신 ,"1,139","1,049","2,188","15,221","13,276","28,497","35,784","34,706","70,490",0,0,0,0,0,0,0,0,0,"101,175"
 신장 ,"3,171","1,840","5,011","33,524","24,443","57,967",40,19,59,486,231,717,"11,547","8,261","19,808",0,0,0,"83,562"
 심장 ,78,49,127,398,260,658,"2,364","1,425","3,789",33,14,47,532,246,778,0,0,0,"5,399"
 호흡기 ,"1,231",499,"1,730","2,605",797,"3,402","4,878","1,620","6,498",7,0,7,98,72,170,0,0,0,"11,807"
 간 ,157,45,202,190,81,271,380,130,510,291,55,346,"7,476","3,038","10,514",0,0,0,"11,843"
 안면 ,55,44,99,233,187,420,532,366,898,683,497,"1,180",53,40,93,1,1,2,"2,692"
 장루.요루 ,6,0,6,70,48,118,717,405,"1,122","5,859","3,226","9,085","2,446","1,940","4,386",0,1,1,"14,718"
 뇌전증 ,65,58,123,217,179,396,683,578,"1,261","2,206","1,856","4,062",592,501,"1,093",0,0,0,"6,935"
